name,year
"""Chistaya proba"" (2012)",2012
"""Chistaya rabota"" (2011)",2011
"""Chisto po zhizn"" (2002)",2002
"""Chistoserdechnoe priznanie"" (2004)",2004
"""Chistye klyuchi"" (2003)",2003
"""Chkalov"" (2012)",2012
"""Choknutaya"" (2011)",2011
"""Chop"" (2015)",2015
"""Chtets"" (2015)",2015
"""Chto skazal pokoynik"" (2000)",2000
"""Chuchelo 2"" (2009)",2009
"""Chudo tehniki"" (2012)",2012
"""Chudotvorets"" (2014)",2014
"""Chudotvoritsa"" (2015)",2015
"""Chuzhaya milaya"" (2015)",2015
"""Chuzhaya voyna"" (2014)",2014
"""Chuzhaya zhizn"" (2014)",2014
"""Chuzhie krylya"" (2011)",2011
"""Chuzhie tayny"" (2007)",2007
"""Chuzhoe dezhurstvo"" (2004)",2004
"""Chuzhoe gnezdo"" (2015)",2015
"""Chuzhoe litso"" (2012)",2012
"""Chuzhoy rayon 2"" (2012)",2012
"""Chuzhoy rayon 3"" (2014)",2014
"""Chuzhoy rayon"" (2012)",2012
"""Chuzhoy"" (2014)",2014
"""Chuzhyy sered svoyikh"" (2014)",2014
"""Chyornaya komnata"" (2000)",2000
"""Chyornoe i Beloe"" (2007)",2007
"""Chyornye koshki"" (2013)",2013
"""Chyornyy sneg"" (2007)",2007
"""Chyornyy voron"" (2001)",2001
"""Collection of Olympic Games Essays: Sobranie Olimpiyskikh Sochineniy"" (2008)",2008
"""Comedy Battle"" (2010)",2010
"""Comedy Club"" (2005)",2005
"""Comedy Woman"" (2008)",2008
"""Cruise"" (2011)",2011
"""Dachnie istorii"" (2009)",2009
"""Daesh molodezh"" (2009)",2009
"""Dalnoboyshchiki"" (2001)",2001
"""Dalnoboyshiki dva"" (2004)",2004
"""Dalnoboyshiki: Desyat let spustya"" (2011)",2011
"""Dama v ochkah, c ruzhyom, v avtomobile"" (2001)",2001
"""Dar"" (2011)",2011
"""Dasha Vasileva. Lyubitelnitsa chastnogo syska 1"" (2003)",2003
"""Dasha"" (2013)",2013
"""Davay pozhenimsya!"" (2008)",2008
"""Davno ne videlis"" (2011)",2011
"""Dead Hand"" (2013)",2013
"""Ded 005"" (2015)",2015
"""Dedushka"" (2016)",2016
"""Deffchonki"" (2012)",2012
"""Degan Az"" (2015)",2015
"""Dekorativnye strasti"" (2006)",2006
"""Dela smeshnye, dela semeynye"" (1996)",1996
"""Delo Astakhova"" (2009)",2009
"""Delo Batagami"" (2014)",2014
"""Delo Krapivinykh"" (2011)",2011
"""Delo bilo v Gavrilovke"" (2007)",2007
"""Delo bilo v Gavrilovke-2"" (2008)",2008
"""Delo bylo na Kubani"" (2011)",2011
"""Delo chesti"" (2007)",2007
"""Delo chesti"" (2013)",2013
"""Delo gastronoma No. 1"" (2011)",2011
"""Delo o 'Myortvykh dushakh'"" (2005)",2005
"""Delo o Maikle Karmane"" (2016)",2016
"""Delo sledovatelya Nikitina"" (2012)",2012
"""Delo temnoe"" (2010)",2010
"""Delo vrachey"" (2013)",2013
"""Delovaya Moskva"" (2006)",2006
"""Delta"" (2013/II)",2013
"""Dembel neizbezhen"" (2009)",2009
"""Demony"" (2011)",2011
"""Den gneva"" (2007)",2007
"""Den rozhdeniya Burzhuya 2"" (2001)",2001
"""Den rozhdeniya Burzhuya"" (2000)",2000
"""Dendy Memories"" (2012)",2012
"""Departament"" (2013)",2013
"""Derevenskaya istoriya"" (2012)",2012
"""Derevenskaya komediya"" (2009)",2009
"""Derzhi menya krepche"" (2007)",2007
"""Desant est desant"" (2010)",2010
"""Desantura"" (2009)",2009
"""Detectivy"" (2006)",2006
"""Detektivy"" (2006)",2006
"""Deti Arbata"" (2004)",2004
"""Deti Vanyukhina"" (2005)",2005
"""Deti beloy bogini"" (2009)",2009
"""Detka"" (2012)",2012
"""Detstvo Nikity"" (1992)",1992
"""Devichnik"" (2010)",2010
"""Devichya okhota"" (2011)",2011
"""Devochki poymut"" (2014)",2014
"""Devochki"" (2009)",2009
"""Devushka srednikh let"" (2014)",2014
"""Devyat apelsinov (Syshiki rayonnogo masshtaba)"" (2008)",2008
"""Devyat neizvestnykh"" (2006)",2006
"""Devyat soldat"" (2006)",2006
"""Devyat zhizney Nestora Makhno"" (2007)",2007
"""Devyatyy otdel"" (2010)",2010
"""Dezhurnyy Angel"" (2010)",2010
"""Dezhurnyy angel. Chast vtoraya"" (2012)",2012
"""Dikaya eda"" (2009)",2009
"""Dikiy 2"" (2011)",2011
"""Dikiy 3"" (2012)",2012
"""Dikiy 4"" (2013)",2013
"""Dikiy"" (2009)",2009
"""Dikiy"" (2009) {2 schetchika (#2.18)}",2009
"""Dikiy"" (2009) {Autobus terpimosti (#2.25)}",2009
"""Dikiy"" (2009) {Begliy bookhgalter (#2.8)}",2009
"""Dikiy"" (2009) {Chistaya rabota (#2.20)}",2009
"""Dikiy"" (2009) {Chuzhoy sredi chuzhikh Part Two (#2.2)}",2009
"""Dikiy"" (2009) {Chuzhoy sredi chuzhikh: Part one (#2.1)}",2009
