n_rates,rating,name,year
19,5.4,"""Nanolyubov"" (2010)",2010.0
12,3.8,"""Nanoman"" (2013)",2013.0
8,1.2,"""Nanoman"" (2013) {Fekalonia (#1.6)}",2013.0
5,7.6,"""Narkomovskiy oboz"" (2011)",2011.0
12,7.5,"""Narodnyy artist"" (2003)",2003.0
874,6.6,"""Nasha Russia"" (2006)",2006.0
7,3.0,"""Nashi 90-e"" (2000)",2000.0
17,6.4,"""Navazhdenie"" (2004)",2004.0
18,6.8,"""Nazad v SSSR"" (2010)",2010.0
6,6.2,"""Ne plach po mne, Argentina!"" (2012)",2012.0
7,7.4,"""Ne pokiday menya"" (2014)",2014.0
354,4.5,"""Ne rodis krasivoy"" (2005)",2005.0
7,7.4,"""Ne zabyvay"" (2005)",2005.0
11,6.5,"""Nebo i zemlya"" (2004)",2004.0
12,5.8,"""Nemnogo ne v sebe"" (2011)",2011.0
6,4.8,"""Neotlozhka"" (2004)",2004.0
42,6.5,"""Neudacha Puaro"" (2002)",2002.0
57,5.5,"""Next 2"" (2003)",2003.0
27,5.4,"""Next 3"" (2003)",2003.0
119,6.5,"""Next"" (2002)",2002.0
10,3.0,"""Nezlob"" (2013)",2013.0
32,3.2,"""Nikita Mikhalkov. Sentimentalnoe puteshestvie na rodinu. Muzyka russkoy zhivopisi"" (1995)",1995.0
40,5.8,"""Nina"" (2001)",2001.0
14,7.0,"""Nochnye lastochki"" (2013)",2013.0
8,5.6,"""O, schastlivchik!"" (1999)",1999.0
16,6.9,"""Obnimaya nebo"" (2014)",2014.0
132,7.7,"""Obratnaya storona Luny"" (2012)",2012.0
6,5.7,"""Obrechennaya stat zvezdoy"" (2005)",2005.0
15,1.8,"""Obruchalnoe koltso"" (2008)",2008.0
7,1.0,"""Obychnyi den shkolnika"" (2016)",2016.0
6,7.2,"""Oderzhimiy"" (2009)",2009.0
11,5.2,"""Odin v Odin!"" (2013)",2013.0
6,2.3,"""Odin v lesu"" (2016)",2016.0
24,4.3,"""Odna za vsekh"" (2009)",2009.0
7,4.6,"""Odnazhdy v Rossii"" (2014)",2014.0
18,7.9,"""Odnazhdy v Rostove"" (2012)",2012.0
11,7.2,"""Ofitsery 2: Vsyo budet khorosho"" (2009)",2009.0
36,6.2,"""Ofitsery: Poslednie voiny imperii"" (2006)",2006.0
8,5.8,"""Okhota na Vervolfa"" (2009)",2009.0
14,6.2,"""Okhota na Zolushku"" (1999)",1999.0
16,5.2,"""Okhota na asfalte"" (2005)",2005.0
13,8.6,"""Okhota na gaulyaytera"" (2012)",2012.0
6,4.3,"""Okhota na geniya"" (2006)",2006.0
126,7.2,"""Okhota na izyubrya"" (2005)",2005.0
18,7.2,"""Okhotnik"" (2006)",2006.0
14,7.4,"""Okhotniki za brilliantami"" (2011)",2011.0
6,7.2,"""Okhotniki za golovami"" (2014)",2014.0
27,4.9,"""Opera: Khroniki uboinogo otdela"" (2004)",2004.0
12,5.8,"""Operativnyy psevdonim"" (2003)",2003.0
13,5.8,"""Orlova i Aleksandrov"" (2015)",2015.0
17,5.3,"""Ostanovka po trebovaniyu - 2"" (2001)",2001.0
36,6.0,"""Ostanovka po trebovaniyu"" (2000)",2000.0
24,3.5,"""Ostorozhno, Zadov"" (2004)",2004.0
47,7.1,"""Ostorozhno, modern! 2"" (2001)",2001.0
54,6.2,"""Ostorozno, Modern!"" (1996)",1996.0
21,5.9,"""Ostrov nenuzhnykh lyudey"" (2012)",2012.0
25,7.6,"""Ostrov"" (2016/I)",2016.0
5,7.0,"""Otdel"" (2010/I)",2010.0
10,7.9,"""Otkroveniya"" (2012)",2012.0
5,6.4,"""Otkroyte, militsiya!"" (2009)",2009.0
7,5.9,"""Otryad"" (2008)",2008.0
16,7.2,"""Otryv"" (2012)",2012.0
250,7.9,"""Ottepel"" (2013)",2013.0
58,6.4,"""Ottsy i deti"" (2008)",2008.0
7,7.0,"""Ozabochennye, ili Lyubov zla"" (2015)",2015.0
6,4.3,"""Ozero zhivikh mertvetsov"" (2016)",2016.0
54,7.9,"""Palach"" (2015)",2015.0
33,7.1,"""Pan ili propal"" (1998)",1998.0
8,7.4,"""Papa naprokat"" (2014)",2014.0
6,6.0,"""Papashi"" (2012)",2012.0
1197,5.6,"""Papiny dochki"" (2007)",2007.0
5,4.4,"""Parizhskiy antikvar"" (2001)",2001.0
20,6.2,"""Parni iz stali"" (2005)",2005.0
6,6.2,"""Parovozik Tishka"" (2013)",2013.0
12,6.8,"""Parshivye ovtsy"" (2010)",2010.0
14,7.4,"""Partiya dlya chempionki"" (2013)",2013.0
9,7.4,"""PatriotKINO"" (2014)",2014.0
9,4.6,"""PatriotKINO"" (2014) {Samiy luchskiy den' - obzor fil'ma (V stile BadComedian) (#2.2)}",2014.0
43,6.4,"""Pelagiya i belyy buldog"" (2009)",2009.0
