name,genre,year
"""Dva ottsa i dva syna"" (2013)",Comedy,2013.0
"""Dva plyus dva"" (2015)",Romance,2015.0
"""Dva tsveta strasti"" (2008)",Drama,2008.0
"""Dve sestry 2"" (2009)",Drama,2009.0
"""Dve sestry"" (2008)",Drama,2008.0
"""Dve storony odnoy Anny"" (2009)",Drama,2009.0
"""Dve sudby"" (2002)",Drama,2002.0
"""Dve zimy i tri leta"" (2014)",Drama,2014.0
"""Dvoe s pistoletami"" (2013)",Drama,2013.0
"""Dvorik"" (2010)",Family,2010.0
"""Dyatlovy"" (2004)",Animation,2004.0
"""Dym"" (1992)",Drama,1992.0
"""Dyuzhina pravosudiya"" (2007)",Drama,2007.0
"""Dyuzhina pravosudiya"" (2007)",Mystery,2007.0
"""Dzhonik"" (2006)",Drama,2006.0
"""Dzhuna"" (2015)",Biography,2015.0
"""Dzhuna"" (2015)",Drama,2015.0
"""Dzhuna"" (2015)",Mystery,2015.0
"""Dzisay"" (2005)",Comedy,2005.0
"""Dzisay"" (2005)",Romance,2005.0
"""Edvard Radzinsky. Dom Romanovykh: Lyubov' i Smert'"" (2005)",Biography,2005.0
"""Edvard Radzinsky. Dom Romanovykh: Lyubov' i Smert'"" (2005)",Documentary,2005.0
"""Effekt Bogarne"" (2013)",Drama,2013.0
"""Efrosinya"" (2010)",Drama,2010.0
"""Efrosinya. Prodolzhenie"" (2011)",Drama,2011.0
"""Efrosinya. Taezhnaya lyubov"" (2012)",Drama,2012.0
"""Ego lyubov"" (2013)",Drama,2013.0
"""Ego lyubov"" (2013)",Romance,2013.0
"""Eksperty"" (2007)",Crime,2007.0
"""Enigma"" (2010)",Sci-Fi,2010.0
"""Era streltsa"" (2007)",Crime,2007.0
"""Era streltsa"" (2007)",Drama,2007.0
"""Ermak"" (1996)",Adventure,1996.0
"""Ermak"" (1996)",Drama,1996.0
"""Ermak"" (1996)",History,1996.0
"""Ermolovy"" (2009)",Drama,2009.0
"""Esenin"" (2005)",Crime,2005.0
"""Esenin"" (2005)",Drama,2005.0
"""Esenin"" (2005)",Thriller,2005.0
"""Eshelon"" (2005)",War,2005.0
"""Esli nam sudba"" (2009)",Drama,2009.0
"""Esli nebo molchit"" (2013)",Thriller,2013.0
"""Esli u Vas netu teti..."" (2007)",Comedy,2007.0
"""Eternal Vacation"" (2016)",Comedy,2016.0
"""Evlampiya Romanova. Sledstvie vedet diletant"" (2003)",Comedy,2003.0
"""Evlampiya Romanova. Sledstvie vedet diletant"" (2003)",Crime,2003.0
"""Eynshteyn. Teoriya lyubvi"" (2013)",Romance,2013.0
"""F.A.Q."" (2011)",Comedy,2011.0
"""Fabrika grez"" (2004)",Drama,2004.0
"""Fabrika zvezd: Vozvrashchenie"" (2011)",Game-Show,2011.0
"""Fabrika zvezd: Vozvrashchenie"" (2011)",Music,2011.0
"""Faith, Hope, Love"" (2016)",Drama,2016.0
"""Fallout: Equestria"" (2017)",Action,2017.0
"""Fallout: Equestria"" (2017)",Animation,2017.0
"""Fallout: Equestria"" (2017)",Drama,2017.0
"""Fallout: Equestria"" (2017)",Thriller,2017.0
"""Fallout: Equestria"" (2017)",War,2017.0
"""Fantom"" (2012)",Action,2012.0
"""Farforovaya svadba"" (2011)",Drama,2011.0
"""Favorit"" (2005)",History,2005.0
"""Feaction"" (2016)",Animation,2016.0
"""Feaction"" (2016)",Comedy,2016.0
"""Feaction"" (2016)",Reality-TV,2016.0
"""Feechki supervised"" (2015)",Comedy,2015.0
"""Feechki supervised"" (2015)",Reality-TV,2015.0
"""Feechki supervised"" (2015)",Short,2015.0
"""Fevralskaya revolyutsiya"" (2007)",Documentary,2007.0
"""Fiksiki"" (2010)",Animation,2010.0
"""Fit-bo"" (2009)",Sport,2009.0
"""Fizruk"" (2013)",Comedy,2013.0
"""Flutter Green Reacts"" (2014)",Short,2014.0
"""Format A4"" (2011)",Drama,2011.0
"""Formula stikhii"" (2008)",Crime,2008.0
"""Fors-mazhor"" (2005)",Crime,2005.0
"""Forsaj"" (2003)",Sport,2003.0
"""Fotograf"" (2008)",Drama,2008.0
"""Frodya"" (2013)",Drama,2013.0
"""GIBDD i t.d."" (2008)",Comedy,2008.0
"""Gadaniye pri svechakh"" (2011)",Drama,2011.0
"""Gadzhet"" (2007)",Short,2007.0
"""Gaishniki"" (2008)",Action,2008.0
"""Gaishniki"" (2008)",Comedy,2008.0
"""Gaishniki"" (2008)",Crime,2008.0
"""Gaishniki"" (2008)",Drama,2008.0
"""Galina"" (2008)",Biography,2008.0
"""Galina"" (2008)",Romance,2008.0
"""Galygin.ru"" (2010)",Comedy,2010.0
"""Garazhi"" (2010)",Comedy,2010.0
"""Geheimes Kuba"" (2015)",Documentary,2015.0
"""Generalskaya vnuchka"" (2009)",Action,2009.0
"""Gennadiy Khazanov. Zhil-byl ya"" (2000)",Biography,2000.0
"""Geroy nashego vremeni"" (2006)",Adventure,2006.0
